Namespace(bit_range=2, code=[0, 1, 0, 0, 0, 0, 1], concat_n=10, do_test=True, do_train=True, exp_name=PosixPath('linear_minmax_concat_10'), ga=True, label=36, max_node=7, num_chrom=20, num_iter=50, rate_cross=0.8, rate_mutate=0.3, seed=6666)
[ 01/20 ] <[0 0 1 0 0 0 1]> Train loss = -4.45471| Valid loss = -10192.44791
[ 02/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 03/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 04/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 05/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 06/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 07/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 08/20 ] <[0 1 1 0 0 0 0]> Train loss = -3.57134| Valid loss = -1527.25392
[ 09/20 ] <[0 0 1 0 0 0 0]> Train loss = 0.07207| Valid loss = -604.89284
[ 10/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.40886| Valid loss = -295.34922
[ 11/20 ] <[0 0 1 0 1 0 1]> Train loss = -2.03424| Valid loss = -8502.45367
[ 12/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 13/20 ] <[0 1 1 0 0 1 1]> <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858-> best
[ 14/20 ] <[0 1 0 1 1 1 1]> Train loss = -7.34927| Valid loss = -249.40595
[ 15/20 ] <[1 1 0 0 0 1 0]> Train loss = -1.91865| Valid loss = -5362.54118
[ 16/20 ] <[0 0 0 1 0 0 1]> Train loss = 0.37811| Valid loss = -248.85579
[ 17/20 ] <[1 1 0 0 0 0 0]> Train loss = -6.82926| Valid loss = -1941.50141
[ 18/20 ] <[0 0 1 0 0 0 1]> Train loss = -4.45471| Valid loss = -10192.44791
[ 19/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 20/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102

====[ GA iter 06/50 ]====
[ 01/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 02/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 03/20 ] <[0 1 0 0 0 0 1]> Train loss = -4.27431| Valid loss = -30805.11725
[ 04/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 05/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 06/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 07/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 08/20 ] <[1 0 0 1 0 0 1]> Train loss = -1.96177| Valid loss = -8774.09905
[ 09/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 10/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 11/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 12/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 13/20 ] <[0 0 0 1 1 1 1]> Train loss = 0.39887| Valid loss = -307.89215
[ 14/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 15/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 16/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 17/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 18/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 19/20 ] <[1 0 0 0 0 1 1]> Train loss = -2.49271| Valid loss = -444.78134
[ 20/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401

====[ GA iter 07/50 ]====
[ 01/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 02/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 03/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 04/20 ] <[0 0 0 0 0 1 0]> Train loss = 0.09680| Valid loss = -279.92962
[ 05/20 ] <[1 0 0 0 0 1 1]> Train loss = -2.49271| Valid loss = -444.78134
[ 06/20 ] <[1 1 0 1 0 1 1]> Train loss = -3.36914| Valid loss = -239.88718
[ 07/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 08/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 09/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 10/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 11/20 ] <[0 0 0 0 0 0 0]> Train loss = 0.05180| Valid loss = -359.36614
[ 12/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 13/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 14/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 15/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 16/20 ] <[0 0 0 0 0 0 1]> Train loss = 0.33428| Valid loss = -261.40401
[ 17/20 ] <[0 0 0 1 0 1 0]> Train loss = 0.13067| Valid loss = -356.03924
[ 18/20 ] <[0 0 0 0 1 1 1]> Train loss = 0.39862| Valid loss = -250.88102
[ 19/20 ] <[0 0 0 1 0 1 1]> Train loss = 0.40886| Valid loss = -295.34922
[ 20/20 ] <[0 0 1 0 0 1 0]> Train loss = -0.62224| Valid loss = -597.09236

====[ GA iter 08/50 ]====
[ 01/20 ] <[0 1 0 1 0 0 1]> Train loss = -5.76484| Valid loss = -2172.82269
[ 02/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 03/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 04/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 05/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 06/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 07/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 08/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 09/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 10/20 ] <[1 1 1 0 0 1 1]> Train loss = -7.33455| Valid loss = -235.43858
[ 11/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 12/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 13/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 14/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 15/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 16/20 ] <[1 1 0 0 1 1 1]> Train loss = -6.31303| Valid loss = -232.99121
[ 17/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 18/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 19/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 20/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688

====[ GA iter 09/50 ]====
[ 01/20 ] <[0 1 0 0 0 0 1]> Train loss = -4.27431| Valid loss = -30805.11725
[ 02/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 03/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 04/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 05/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 06/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 07/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 08/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 09/20 ] <[1 1 1 0 0 1 1]> Train loss = -7.33455| Valid loss = -235.43858
[ 10/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 11/20 ] <[1 1 1 0 1 1 1]> Train loss = -7.44884| Valid loss = -244.18732
[ 12/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 13/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 14/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 15/20 ] <[0 1 0 0 0 0 1]> Train loss = -4.27431| Valid loss = -30805.11725
[ 16/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 17/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 18/20 ] <[0 1 0 0 0 1 0]> Train loss = -0.15491| Valid loss = -498.67933
[ 19/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 20/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010

====[ GA iter 10/50 ]====
[ 01/20 ] <[1 1 1 0 0 1 1]> Train loss = -7.33455| Valid loss = -235.43858
[ 02/20 ] <[0 1 1 0 1 1 1]> Train loss = -2.55834| Valid loss = -218.91074
[ 03/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 04/20 ] <[1 1 0 0 0 0 1]> Train loss = -3.47587| Valid loss = -227.67681
[ 05/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 06/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 07/20 ] <[0 0 0 0 0 1 1]> Train loss = 0.37516| Valid loss = -375.17310
[ 08/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 09/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010
[ 10/20 ] <[1 0 0 0 0 1 1]> Train loss = -2.49271| Valid loss = -444.78134
[ 11/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 12/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 13/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 14/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 15/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 16/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 17/20 ] <[1 1 0 0 0 1 1]> Train loss = -2.18917| Valid loss = -220.91904
[ 18/20 ] <[1 1 1 0 1 1 1]> Train loss = -7.44884| Valid loss = -244.18732
[ 19/20 ] <[0 1 0 0 0 0 0]> Train loss = -0.11144| Valid loss = -544.21958
[ 20/20 ] <[0 1 0 1 0 1 1]> Train loss = -3.01397| Valid loss = -239.44010

====[ GA iter 11/50 ]====
[ 01/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 02/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 03/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 04/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 05/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 06/20 ] <[0 0 1 0 0 1 1]> Train loss = -8.36787| Valid loss = -88471.76731
[ 07/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 08/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 09/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 10/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 11/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 12/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 13/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 14/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 15/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 16/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 17/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 18/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 19/20 ] <[0 1 1 0 0 0 0]> Train loss = -3.57134| Valid loss = -1527.25392
[ 20/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858

====[ GA iter 12/50 ]====
[ 01/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 02/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 03/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 04/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 05/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 06/20 ] <[0 1 0 0 0 1 1]> Train loss = -2.69451| Valid loss = -218.38688
[ 07/20 ] <[1 1 1 0 0 0 0]> Train loss = -3.50472| Valid loss = -3156.97735
[ 08/20 ] <[0 1 1 0 0 1 0]> Train loss = -4.51059| Valid loss = -2200.95650
[ 09/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 10/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 11/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 12/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 13/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
[ 14/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 15/20 ] <[0 1 1 0 0 1 1]> Train loss = -1.97487| Valid loss = -213.75858
[ 16/20 ] <[0 1 1 0 0 0 1]> Train loss = -3.20176| Valid loss = -227.21211
